Date,Open,High,Low,Close,Adj Close,Volume
2010-04-27,930.590027,938.419983,917.969971,918.809998,918.809998,0
2010-04-28,922.000000,926.159973,919.239990,923.789978,923.789978,0
2010-04-29,931.880005,951.640015,929.559998,950.030029,950.030029,0
2010-04-30,953.320007,958.000000,940.659973,940.799988,940.799988,0
2010-05-03,944.140015,956.859985,942.989990,954.700012,954.700012,0
2010-05-04,945.390015,945.390015,928.099976,934.270020,934.270020,0
2010-05-05,908.559998,916.989990,897.580017,915.530029,915.530029,0
2010-05-06,911.289978,912.000000,833.080017,877.299988,877.299988,0
2010-05-07,872.799988,880.830017,842.679993,852.179993,852.179993,0
2010-05-10,883.729980,893.700012,873.919983,880.450012,880.450012,0
2010-05-11,871.510010,899.169983,870.799988,890.210022,890.210022,0
2010-05-12,893.109985,907.909973,890.690002,907.590027,907.590027,0
2010-05-13,903.969971,907.770020,896.000000,897.599976,897.599976,0
2010-05-14,892.780029,894.799988,870.830017,878.219971,878.219971,0
2010-05-17,881.739990,886.500000,863.559998,880.710022,880.710022,0
2010-05-18,887.510010,888.380005,869.559998,870.590027,870.590027,0
2010-05-19,867.950012,876.859985,860.030029,868.530029,868.530029,0
2010-05-20,853.169983,855.789978,832.859985,832.859985,832.859985,0
2010-05-21,823.429993,841.900024,819.859985,833.500000,833.500000,0
2010-05-24,828.659973,842.090027,826.659973,830.710022,830.710022,0
2010-05-25,814.190002,829.260010,803.239990,828.780029,828.780029,0
2010-05-26,832.299988,841.049988,818.510010,819.080017,819.080017,0
2010-05-27,834.479980,842.880005,830.789978,842.880005,842.880005,0
2010-05-28,842.690002,846.719971,832.469971,837.679993,837.679993,0
2010-06-01,831.119995,843.409973,821.179993,821.179993,821.179993,0
2010-06-02,828.849976,853.450012,827.250000,853.450012,853.450012,0
2010-06-03,853.929993,860.900024,849.380005,860.260010,860.260010,0
2010-06-04,843.059998,847.890015,826.000000,827.419983,827.419983,0
2010-06-07,835.840027,836.890015,814.830017,815.049988,815.049988,0
2010-06-08,815.440002,817.659973,794.770020,806.280029,806.280029,0
2010-06-09,809.809998,819.020020,801.510010,803.969971,803.969971,0
2010-06-10,814.349976,829.150024,814.070007,829.150024,829.150024,0
2010-06-11,821.510010,839.710022,820.719971,839.390015,839.390015,0
2010-06-14,844.530029,852.739990,840.570007,841.289978,841.289978,0
2010-06-15,845.390015,859.539978,845.030029,859.020020,859.020020,0
2010-06-16,853.590027,861.090027,853.590027,855.520020,855.520020,0
2010-06-17,857.750000,859.119995,847.000000,856.559998,856.559998,0
2010-06-18,859.880005,863.390015,853.820007,856.780029,856.780029,0
2010-06-21,865.830017,868.450012,845.219971,849.150024,849.150024,0
2010-06-22,851.909973,856.690002,836.330017,837.140015,837.140015,0
2010-06-23,837.369995,843.270020,831.900024,837.929993,837.929993,0
2010-06-24,833.640015,840.039978,828.880005,831.179993,831.179993,0
2010-06-25,833.359985,850.260010,829.119995,844.390015,844.390015,0
2010-06-28,844.840027,849.419983,833.849976,839.280029,839.280029,0
2010-06-29,827.330017,827.630005,807.809998,811.950012,811.950012,0
2010-06-30,810.500000,817.049988,798.859985,799.940002,799.940002,0
2010-07-01,795.950012,795.950012,769.770020,785.690002,785.690002,0
2010-07-02,788.690002,798.380005,786.789978,790.900024,790.900024,0
2010-07-06,799.559998,801.460022,776.950012,781.710022,781.710022,0
2010-07-07,781.599976,795.760010,774.570007,795.520020,795.520020,0
2010-07-08,799.479980,808.270020,796.260010,808.119995,808.119995,0
2010-07-09,807.570007,820.059998,805.739990,819.640015,819.640015,0
2010-07-12,817.789978,821.460022,807.320007,808.830017,808.830017,0
2010-07-13,817.750000,829.020020,816.710022,827.500000,827.500000,0
2010-07-14,825.119995,829.419983,821.700012,827.330017,827.330017,0
2010-07-15,829.080017,834.750000,822.969971,828.960022,828.960022,0
2010-07-16,822.580017,826.190002,799.219971,800.369995,800.369995,0
2010-07-19,801.750000,807.809998,797.960022,806.020020,806.020020,0
2010-07-20,794.840027,807.890015,793.190002,807.820007,807.820007,0
2010-07-21,810.070007,814.140015,798.580017,799.840027,799.840027,0
2010-07-22,808.200012,821.109985,807.900024,815.960022,815.960022,0
2010-07-23,812.919983,822.190002,800.299988,822.190002,822.190002,0
2010-07-26,826.909973,848.659973,825.140015,847.200012,847.200012,0
2010-07-27,851.559998,852.510010,837.369995,842.450012,842.450012,0
2010-07-28,841.869995,846.630005,824.530029,825.260010,825.260010,0
2010-07-29,834.750000,836.669983,813.640015,822.409973,822.409973,0
2010-07-30,815.929993,840.809998,815.080017,836.010010,836.010010,0
2010-08-02,847.580017,855.559998,846.659973,852.280029,852.280029,0
2010-08-03,850.729980,858.969971,847.000000,854.010010,854.010010,0
2010-08-04,857.950012,868.359985,857.940002,866.820007,866.820007,0
2010-08-05,862.119995,867.309998,859.659973,862.780029,862.780029,0
2010-08-06,855.409973,868.500000,850.140015,867.950012,867.950012,0
2010-08-09,871.669983,874.000000,866.369995,873.130005,873.130005,0
2010-08-10,865.210022,874.070007,858.549988,868.429993,868.429993,0
2010-08-11,854.640015,854.789978,838.979980,840.469971,840.469971,0
2010-08-12,830.570007,852.440002,829.909973,848.650024,848.650024,0
2010-08-13,845.789978,848.030029,841.539978,841.539978,841.539978,0
2010-08-16,837.169983,848.520020,835.049988,843.349976,843.349976,0
2010-08-17,847.700012,854.809998,843.270020,850.500000,850.500000,0
2010-08-18,847.659973,856.570007,843.599976,850.119995,850.119995,0
2010-08-19,848.020020,848.200012,829.159973,832.210022,832.210022,0
2010-08-20,830.080017,832.890015,823.590027,831.159973,831.159973,0
2010-08-23,834.429993,841.299988,826.020020,826.030029,826.030029,0
2010-08-24,817.630005,819.630005,809.840027,812.000000,812.000000,0
2010-08-25,807.500000,825.210022,805.419983,823.150024,823.150024,0
2010-08-26,823.780029,823.960022,809.200012,810.789978,810.789978,0
2010-08-27,815.580017,827.010010,803.679993,826.270020,826.270020,0
2010-08-30,824.890015,827.219971,814.650024,814.679993,814.679993,0
2010-08-31,811.809998,820.900024,809.349976,812.130005,812.130005,0
2010-09-01,823.380005,835.830017,823.380005,834.500000,834.500000,0
2010-09-02,834.510010,845.179993,832.090027,845.140015,845.140015,0
2010-09-03,852.530029,854.880005,846.590027,854.119995,854.119995,0
2010-09-07,850.440002,850.989990,842.919983,844.059998,844.059998,0
2010-09-08,848.570007,860.840027,848.549988,859.640015,859.640015,0
2010-09-09,866.789978,867.419983,860.770020,864.609985,864.609985,0
2010-09-10,866.679993,875.130005,865.770020,874.159973,874.159973,0
2010-09-13,877.989990,879.590027,873.619995,877.179993,877.179993,0
2010-09-14,874.369995,879.659973,873.020020,876.479980,876.479980,0
2010-09-15,874.340027,885.030029,873.140015,884.150024,884.150024,0
2010-09-16,882.260010,882.530029,876.849976,880.229980,880.229980,0
2010-09-17,884.289978,885.429993,877.039978,882.239990,882.239990,0
2010-09-20,884.739990,898.159973,882.950012,897.179993,897.179993,0
2010-09-21,896.719971,901.090027,894.090027,896.400024,896.400024,0
2010-09-22,892.299988,902.580017,890.460022,893.080017,893.080017,0
2010-09-23,886.090027,897.770020,885.630005,888.929993,888.929993,0
2010-09-24,898.109985,905.070007,894.950012,905.070007,905.070007,0
2010-09-27,904.359985,904.510010,895.369995,895.539978,895.539978,0
2010-09-28,898.669983,904.969971,890.369995,901.979980,901.979980,0
2010-09-29,900.469971,900.469971,892.059998,894.960022,894.960022,0
2010-09-30,900.049988,902.559998,890.580017,895.330017,895.330017,0
2010-10-01,900.750000,901.940002,890.030029,896.010010,896.010010,0
2010-10-04,893.369995,897.760010,885.440002,889.489990,889.489990,0
2010-10-05,897.419983,909.369995,897.010010,908.640015,908.640015,0
2010-10-06,906.919983,908.409973,897.719971,900.729980,900.729980,0
2010-10-07,903.890015,904.539978,895.960022,902.409973,902.409973,0
2010-10-08,902.309998,912.619995,900.780029,910.739990,910.739990,0
2010-10-11,911.090027,912.549988,906.979980,908.390015,908.390015,0
2010-10-12,906.440002,915.609985,899.840027,914.150024,914.150024,0
2010-10-13,919.500000,922.400024,916.119995,917.940002,917.940002,0
2010-10-14,918.309998,919.590027,911.440002,915.380005,915.380005,0
2010-10-15,921.690002,924.840027,914.349976,923.960022,923.960022,0
2010-10-18,924.260010,930.369995,923.080017,930.200012,930.200012,0
2010-10-19,922.359985,926.580017,910.179993,914.750000,914.750000,0
2010-10-20,912.679993,924.239990,911.599976,917.299988,917.299988,0
2010-10-21,920.880005,925.750000,907.359985,915.219971,915.219971,0
2010-10-22,915.890015,918.239990,911.270020,917.849976,917.849976,0
2010-10-25,924.000000,931.400024,921.979980,922.570007,922.570007,0
2010-10-26,917.289978,921.830017,912.520020,919.400024,919.400024,0
2010-10-27,916.640015,926.289978,914.049988,924.619995,924.619995,0
2010-10-28,931.940002,934.510010,925.380005,929.750000,929.750000,0
2010-10-29,927.340027,932.380005,927.210022,927.630005,927.630005,0
2010-11-01,930.049988,933.400024,919.239990,923.950012,923.950012,0
2010-11-02,929.640015,931.299988,923.859985,928.549988,928.549988,0
2010-11-03,927.799988,929.549988,921.250000,928.780029,928.780029,0
2010-11-04,935.989990,936.700012,925.219971,927.770020,927.770020,0
2010-11-05,927.440002,927.479980,916.169983,921.429993,921.429993,0
2010-11-08,916.940002,918.049988,911.450012,916.609985,916.609985,0
2010-11-09,917.030029,919.140015,906.369995,908.539978,908.539978,0
2010-11-10,910.099976,914.950012,903.159973,914.950012,914.950012,0
2010-11-11,909.039978,918.099976,906.109985,916.229980,916.229980,0
2010-11-12,909.969971,913.020020,901.960022,904.830017,904.830017,0
2010-11-15,910.200012,915.309998,909.789978,911.700012,911.700012,0
2010-11-16,906.570007,912.159973,899.119995,901.789978,901.789978,0
2010-11-17,901.330017,905.130005,899.140015,904.219971,904.219971,0
2010-11-18,915.190002,922.090027,913.159973,918.530029,918.530029,0
2010-11-19,918.539978,921.169983,912.650024,919.929993,919.929993,0
2010-11-22,920.780029,927.570007,915.679993,924.630005,924.630005,0
2010-11-23,915.530029,917.880005,910.119995,913.559998,913.559998,0
2010-11-24,922.179993,929.739990,922.140015,928.340027,928.340027,0
2010-11-26,922.809998,926.789978,920.760010,924.599976,924.599976,0
2010-11-29,919.719971,920.570007,908.669983,917.679993,917.679993,0
2010-11-30,907.960022,912.419983,905.880005,907.539978,907.539978,0
2010-12-01,918.380005,924.349976,918.330017,920.159973,920.159973,0
2010-12-02,918.400024,925.320007,917.549988,925.320007,925.320007,0
2010-12-03,922.690002,930.179993,921.789978,929.539978,929.539978,0
2010-12-06,925.000000,925.469971,920.380005,924.229980,924.229980,0
2010-12-07,933.270020,935.239990,926.229980,926.960022,926.960022,0
2010-12-08,930.659973,932.549988,927.969971,929.559998,929.559998,0
2010-12-09,935.429993,936.419983,931.030029,935.489990,935.489990,0
2010-12-10,936.799988,947.969971,936.409973,946.179993,946.179993,0
2010-12-13,947.140015,947.619995,940.309998,940.710022,940.710022,0
2010-12-14,946.109985,953.700012,945.609985,952.700012,952.700012,0
2010-12-15,951.080017,962.729980,951.080017,955.780029,955.780029,0
